data\test_digits_inverted\0\Zero_full (1019).jpg | True: 0, Pred: 9
data\test_digits_inverted\4\Four_full (1858).jpg | True: 4, Pred: 0
data\test_digits_inverted\4\Four_full (1883).jpg | True: 4, Pred: 6
data\test_digits_inverted\4\Four_full (1914).jpg | True: 4, Pred: 6
data\test_digits_inverted\4\Four_full (2053).jpg | True: 4, Pred: 0
data\test_digits_inverted\4\Four_full (2070).jpg | True: 4, Pred: 9
data\test_digits_inverted\4\Four_full (2087).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (2102).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (2123).jpg | True: 4, Pred: 9
data\test_digits_inverted\4\Four_full (2131).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (229).jpg | True: 4, Pred: 6
data\test_digits_inverted\4\Four_full (244).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (249).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (256).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (258).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (295).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (344).jpg | True: 4, Pred: 9
data\test_digits_inverted\4\Four_full (351).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (366).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (380).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (419).jpg | True: 4, Pred: 6
data\test_digits_inverted\4\Four_full (429).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (45).jpg | True: 4, Pred: 9
data\test_digits_inverted\4\Four_full (508).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (546).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (57).jpg | True: 4, Pred: 9
data\test_digits_inverted\4\Four_full (573).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (597).jpg | True: 4, Pred: 6
data\test_digits_inverted\4\Four_full (598).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (637).jpg | True: 4, Pred: 9
data\test_digits_inverted\4\Four_full (679).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (693).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (698).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (738).jpg | True: 4, Pred: 2
data\test_digits_inverted\4\Four_full (751).jpg | True: 4, Pred: 5
data\test_digits_inverted\4\Four_full (755).jpg | True: 4, Pred: 9
data\test_digits_inverted\4\Four_full (779).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (809).jpg | True: 4, Pred: 9
data\test_digits_inverted\4\Four_full (833).jpg | True: 4, Pred: 6
data\test_digits_inverted\4\Four_full (90).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (913).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (92).jpg | True: 4, Pred: 9
data\test_digits_inverted\4\Four_full (928).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (94).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (953).jpg | True: 4, Pred: 4
data\test_digits_inverted\5\Five_full (101).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1021).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1058).jpg | True: 5, Pred: 3
data\test_digits_inverted\5\Five_full (1063).jpg | True: 5, Pred: 6
data\test_digits_inverted\5\Five_full (1072).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1093).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1102).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1106).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1141).jpg | True: 5, Pred: 9
data\test_digits_inverted\5\Five_full (1154).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1168).jpg | True: 5, Pred: 3
data\test_digits_inverted\5\Five_full (1214).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1235).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1241).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1260).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (13).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1367).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1390).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1426).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1432).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1434).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1446).jpg | True: 5, Pred: 9
data\test_digits_inverted\5\Five_full (149).jpg | True: 5, Pred: 2
data\test_digits_inverted\5\Five_full (1511).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1518).jpg | True: 5, Pred: 9
data\test_digits_inverted\5\Five_full (1527).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (153).jpg | True: 5, Pred: 9
data\test_digits_inverted\5\Five_full (1531).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1541).jpg | True: 5, Pred: 3
data\test_digits_inverted\5\Five_full (1543).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1553).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1669).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1681).jpg | True: 5, Pred: 9
data\test_digits_inverted\5\Five_full (1697).jpg | True: 5, Pred: 9
data\test_digits_inverted\5\Five_full (1707).jpg | True: 5, Pred: 9
data\test_digits_inverted\5\Five_full (1745).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1757).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1771).jpg | True: 5, Pred: 3
data\test_digits_inverted\5\Five_full (179).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1868).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1885).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1904).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1952).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (1953).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (2012).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (2049).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (2061).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (2065).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (2084).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (2087).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (221).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (224).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (260).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (275).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (292).jpg | True: 5, Pred: 7
data\test_digits_inverted\5\Five_full (323).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (332).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (372).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (410).jpg | True: 5, Pred: 6
data\test_digits_inverted\5\Five_full (432).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (442).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (449).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (463).jpg | True: 5, Pred: 6
data\test_digits_inverted\5\Five_full (49).jpg | True: 5, Pred: 6
data\test_digits_inverted\5\Five_full (5).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (559).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (564).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (592).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (649).jpg | True: 5, Pred: 3
data\test_digits_inverted\5\Five_full (658).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (664).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (688).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (71).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (719).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (730).jpg | True: 5, Pred: 3
data\test_digits_inverted\5\Five_full (74).jpg | True: 5, Pred: 9
data\test_digits_inverted\5\Five_full (771).jpg | True: 5, Pred: 9
data\test_digits_inverted\5\Five_full (851).jpg | True: 5, Pred: 9
data\test_digits_inverted\5\Five_full (852).jpg | True: 5, Pred: 9
data\test_digits_inverted\5\Five_full (869).jpg | True: 5, Pred: 9
data\test_digits_inverted\5\Five_full (884).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (89).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (902).jpg | True: 5, Pred: 3
data\test_digits_inverted\5\Five_full (943).jpg | True: 5, Pred: 5
data\test_digits_inverted\5\Five_full (972).jpg | True: 5, Pred: 5
data\test_digits_inverted\6\Six_full (1042).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1053).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1061).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1078).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1079).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1114).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1148).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1178).jpg | True: 6, Pred: 9
data\test_digits_inverted\6\Six_full (1252).jpg | True: 6, Pred: 1
data\test_digits_inverted\6\Six_full (1256).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1291).jpg | True: 6, Pred: 2
data\test_digits_inverted\6\Six_full (1300).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1316).jpg | True: 6, Pred: 9
data\test_digits_inverted\6\Six_full (134).jpg | True: 6, Pred: 9
data\test_digits_inverted\6\Six_full (1340).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1344).jpg | True: 6, Pred: 2
data\test_digits_inverted\6\Six_full (1352).jpg | True: 6, Pred: 2
data\test_digits_inverted\6\Six_full (1353).jpg | True: 6, Pred: 2
data\test_digits_inverted\6\Six_full (1365).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1383).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1423).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1434).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1454).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1469).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1488).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (149).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1546).jpg | True: 6, Pred: 9
data\test_digits_inverted\6\Six_full (155).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1606).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1680).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1700).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1788).jpg | True: 6, Pred: 9
data\test_digits_inverted\6\Six_full (183).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1842).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1883).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1896).jpg | True: 6, Pred: 9
data\test_digits_inverted\6\Six_full (191).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1914).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1915).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1950).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1959).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (1999).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (2000).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (2033).jpg | True: 6, Pred: 9
data\test_digits_inverted\6\Six_full (2070).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (2084).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (258).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (296).jpg | True: 6, Pred: 1
data\test_digits_inverted\6\Six_full (298).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (303).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (33).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (331).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (336).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (394).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (402).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (404).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (416).jpg | True: 6, Pred: 2
data\test_digits_inverted\6\Six_full (431).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (457).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (459).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (474).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (48).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (52).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (551).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (555).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (567).jpg | True: 6, Pred: 9
data\test_digits_inverted\6\Six_full (576).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (642).jpg | True: 6, Pred: 9
data\test_digits_inverted\6\Six_full (66).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (667).jpg | True: 6, Pred: 9
data\test_digits_inverted\6\Six_full (685).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (715).jpg | True: 6, Pred: 9
data\test_digits_inverted\6\Six_full (731).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (733).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (750).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (777).jpg | True: 6, Pred: 9
data\test_digits_inverted\6\Six_full (790).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (795).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (815).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (855).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (866).jpg | True: 6, Pred: 9
data\test_digits_inverted\6\Six_full (928).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (937).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (993).jpg | True: 6, Pred: 6
data\test_digits_inverted\6\Six_full (997).jpg | True: 6, Pred: 0
data\test_digits_inverted\7\Seven_full (1064).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1093).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1095).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1120).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1139).jpg | True: 7, Pred: 8
data\test_digits_inverted\7\Seven_full (1150).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1206).jpg | True: 7, Pred: 1
data\test_digits_inverted\7\Seven_full (1213).jpg | True: 7, Pred: 1
data\test_digits_inverted\7\Seven_full (1221).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1232).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1290).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1323).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1336).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1385).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1454).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1455).jpg | True: 7, Pred: 3
data\test_digits_inverted\7\Seven_full (1462).jpg | True: 7, Pred: 3
data\test_digits_inverted\7\Seven_full (1471).jpg | True: 7, Pred: 3
data\test_digits_inverted\7\Seven_full (1473).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (15).jpg | True: 7, Pred: 3
data\test_digits_inverted\7\Seven_full (1552).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1553).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1560).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1625).jpg | True: 7, Pred: 3
data\test_digits_inverted\7\Seven_full (1640).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1645).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1658).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1730).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1743).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1756).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1766).jpg | True: 7, Pred: 2
data\test_digits_inverted\7\Seven_full (1768).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1779).jpg | True: 7, Pred: 2
data\test_digits_inverted\7\Seven_full (178).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1808).jpg | True: 7, Pred: 3
data\test_digits_inverted\7\Seven_full (181).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1817).jpg | True: 7, Pred: 3
data\test_digits_inverted\7\Seven_full (1825).jpg | True: 7, Pred: 3
data\test_digits_inverted\7\Seven_full (1884).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1903).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1933).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1938).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (1967).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (2022).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (2030).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (2057).jpg | True: 7, Pred: 3
data\test_digits_inverted\7\Seven_full (2060).jpg | True: 7, Pred: 3
data\test_digits_inverted\7\Seven_full (227).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (261).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (280).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (301).jpg | True: 7, Pred: 3
data\test_digits_inverted\7\Seven_full (348).jpg | True: 7, Pred: 9
data\test_digits_inverted\7\Seven_full (360).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (390).jpg | True: 7, Pred: 3
data\test_digits_inverted\7\Seven_full (40).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (427).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (460).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (470).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (497).jpg | True: 7, Pred: 3
data\test_digits_inverted\7\Seven_full (535).jpg | True: 7, Pred: 9
data\test_digits_inverted\7\Seven_full (537).jpg | True: 7, Pred: 3
data\test_digits_inverted\7\Seven_full (538).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (586).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (654).jpg | True: 7, Pred: 3
data\test_digits_inverted\7\Seven_full (671).jpg | True: 7, Pred: 3
data\test_digits_inverted\7\Seven_full (674).jpg | True: 7, Pred: 1
data\test_digits_inverted\7\Seven_full (690).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (716).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (740).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (79).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (796).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (807).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (818).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (821).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (856).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (875).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (880).jpg | True: 7, Pred: 3
data\test_digits_inverted\7\Seven_full (893).jpg | True: 7, Pred: 1
data\test_digits_inverted\7\Seven_full (902).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (906).jpg | True: 7, Pred: 3
data\test_digits_inverted\7\Seven_full (910).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (967).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (985).jpg | True: 7, Pred: 7
data\test_digits_inverted\7\Seven_full (989).jpg | True: 7, Pred: 5
data\test_digits_inverted\7\Seven_full (996).jpg | True: 7, Pred: 2
data\test_digits_inverted\8\Eight_full (1060).jpg | True: 8, Pred: 9
data\test_digits_inverted\8\Eight_full (1089).jpg | True: 8, Pred: 6
data\test_digits_inverted\8\Eight_full (1117).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (1124).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (1128).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (1147).jpg | True: 8, Pred: 7
data\test_digits_inverted\8\Eight_full (1199).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (1227).jpg | True: 8, Pred: 1
data\test_digits_inverted\8\Eight_full (1276).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (1281).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (1286).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (1302).jpg | True: 8, Pred: 6
data\test_digits_inverted\8\Eight_full (1336).jpg | True: 8, Pred: 7
data\test_digits_inverted\8\Eight_full (134).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (1371).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (1377).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (1454).jpg | True: 8, Pred: 4
data\test_digits_inverted\8\Eight_full (1460).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (151).jpg | True: 8, Pred: 9
data\test_digits_inverted\8\Eight_full (1551).jpg | True: 8, Pred: 5
data\test_digits_inverted\8\Eight_full (1563).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (1575).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (1639).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (1650).jpg | True: 8, Pred: 3
data\test_digits_inverted\8\Eight_full (1710).jpg | True: 8, Pred: 9
data\test_digits_inverted\8\Eight_full (1788).jpg | True: 8, Pred: 3
data\test_digits_inverted\8\Eight_full (1870).jpg | True: 8, Pred: 7
data\test_digits_inverted\8\Eight_full (1880).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (1893).jpg | True: 8, Pred: 7
data\test_digits_inverted\8\Eight_full (1898).jpg | True: 8, Pred: 0
data\test_digits_inverted\8\Eight_full (19).jpg | True: 8, Pred: 6
data\test_digits_inverted\8\Eight_full (1920).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (1954).jpg | True: 8, Pred: 9
data\test_digits_inverted\8\Eight_full (1964).jpg | True: 8, Pred: 4
data\test_digits_inverted\8\Eight_full (1995).jpg | True: 8, Pred: 9
data\test_digits_inverted\8\Eight_full (20).jpg | True: 8, Pred: 6
data\test_digits_inverted\8\Eight_full (200).jpg | True: 8, Pred: 3
data\test_digits_inverted\8\Eight_full (2007).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (2020).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (2037).jpg | True: 8, Pred: 1
data\test_digits_inverted\8\Eight_full (2039).jpg | True: 8, Pred: 4
data\test_digits_inverted\8\Eight_full (2050).jpg | True: 8, Pred: 2
data\test_digits_inverted\8\Eight_full (2056).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (2077).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (2078).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (217).jpg | True: 8, Pred: 9
data\test_digits_inverted\8\Eight_full (240).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (255).jpg | True: 8, Pred: 6
data\test_digits_inverted\8\Eight_full (268).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (277).jpg | True: 8, Pred: 3
data\test_digits_inverted\8\Eight_full (292).jpg | True: 8, Pred: 9
data\test_digits_inverted\8\Eight_full (337).jpg | True: 8, Pred: 3
data\test_digits_inverted\8\Eight_full (34).jpg | True: 8, Pred: 5
data\test_digits_inverted\8\Eight_full (383).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (426).jpg | True: 8, Pred: 3
data\test_digits_inverted\8\Eight_full (436).jpg | True: 8, Pred: 3
data\test_digits_inverted\8\Eight_full (456).jpg | True: 8, Pred: 3
data\test_digits_inverted\8\Eight_full (457).jpg | True: 8, Pred: 3
data\test_digits_inverted\8\Eight_full (465).jpg | True: 8, Pred: 3
data\test_digits_inverted\8\Eight_full (517).jpg | True: 8, Pred: 9
data\test_digits_inverted\8\Eight_full (527).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (536).jpg | True: 8, Pred: 9
data\test_digits_inverted\8\Eight_full (550).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (584).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (608).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (615).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (707).jpg | True: 8, Pred: 9
data\test_digits_inverted\8\Eight_full (713).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (75).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (754).jpg | True: 8, Pred: 3
data\test_digits_inverted\8\Eight_full (758).jpg | True: 8, Pred: 9
data\test_digits_inverted\8\Eight_full (76).jpg | True: 8, Pred: 7
data\test_digits_inverted\8\Eight_full (831).jpg | True: 8, Pred: 9
data\test_digits_inverted\8\Eight_full (833).jpg | True: 8, Pred: 9
data\test_digits_inverted\8\Eight_full (839).jpg | True: 8, Pred: 9
data\test_digits_inverted\8\Eight_full (886).jpg | True: 8, Pred: 3
data\test_digits_inverted\8\Eight_full (895).jpg | True: 8, Pred: 4
data\test_digits_inverted\8\Eight_full (905).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (924).jpg | True: 8, Pred: 6
